"","item_definition","Age_Months","Percentage_Knowing"
"994","pen","19",0.23
"995","pen","20",0.26
"996","pen","21",0.3
"997","pen","22",0.36
"998","pen","23",0.4
"999","pen","24",0.44
"1000","pen","25",0.55
"1001","pen","26",0.58
"1002","pen","27",0.58
"1003","pen","28",0.79
"1004","pen","29",0.64
"1005","pen","30",0.69
"1006","pencil","16",0.01
"1007","pencil","17",0.04
"1008","pencil","18",0.07
"1009","pencil","19",0.15
"1010","pencil","20",0.16
"1011","pencil","21",0.22
"1012","pencil","22",0.22
"1013","pencil","23",0.3
"1014","pencil","24",0.34
"1015","pencil","25",0.46
"1016","pencil","26",0.49
"1017","pencil","27",0.5
"1018","pencil","28",0.74
"1019","pencil","29",0.6
"1020","pencil","30",0.65
"1021","present","16",0.01
"1022","present","17",0.03
"1023","present","18",0.05
"1024","present","19",0.08
"1025","present","20",0.1
"1026","present","21",0.17
"1027","present","22",0.22
"1028","present","23",0.33
"1029","present","24",0.44
"1030","present","25",0.51
"1031","present","26",0.52
"1032","present","27",0.56
"1033","present","28",0.77
"1034","present","29",0.64
"1035","present","30",0.67
"1036","puzzle","16",0.03
"1037","puzzle","17",0.05
"1038","puzzle","18",0.09
"1039","puzzle","19",0.18
"1040","puzzle","20",0.2
"1041","puzzle","21",0.25
"1042","puzzle","22",0.3
"1043","puzzle","23",0.4
"1044","puzzle","24",0.48
"1045","puzzle","25",0.6
"1046","puzzle","26",0.6
"1047","puzzle","27",0.64
"1048","puzzle","28",0.82
"1049","puzzle","29",0.69
"1050","puzzle","30",0.75
"1051","story","16",0.02
"1052","story","17",0.05
"1053","story","18",0.09
"1054","story","19",0.16
"1055","story","20",0.17
"1056","story","21",0.22
"1057","story","22",0.31
"1058","story","23",0.37
"1059","story","24",0.48
"1060","story","25",0.52
"1061","story","26",0.55
"1062","story","27",0.58
"1063","story","28",0.78
"1064","story","29",0.69
"1065","story","30",0.76
"1066","toy","16",0.13
"1067","toy","17",0.16
"1068","toy","18",0.24
"1069","toy","19",0.36
"1070","toy","20",0.41
"1071","toy","21",0.46
"1072","toy","22",0.5
"1073","toy","23",0.59
"1074","toy","24",0.66
"1075","toy","25",0.75
"1076","toy","26",0.78
"1077","toy","27",0.8
"1078","toy","28",0.91
"1079","toy","29",0.87
"1080","toy","30",0.9
"1081","apple","16",0.29
"1082","apple","17",0.38
"1083","apple","18",0.49
"1084","apple","19",0.61
"1085","apple","20",0.61
"1086","apple","21",0.67
"1087","apple","22",0.76
